multiplier_name,strat_a,strat_b,repetition,total_a,total_b,coop_rate_a,coop_rate_b,rounds
Constant(1),SuspiciousTfT,Grim,3,203.0,203.0,0.005,0.005,200
Constant(1),SuspiciousTfT,GenerousTfT,3,599.0,594.0,0.98,0.985,200
Constant(1),SuspiciousTfT,ContriteTfT,3,500.0,500.0,0.5,0.5,200
Constant(1),SuspiciousTfT,Pavlov,3,401.0,401.0,0.335,0.335,200
Constant(1),TFT2,AllC,3,600.0,600.0,1.0,1.0,200
Constant(1),TFT2,AllD,3,198.0,208.0,0.01,0.0,200
Constant(1),TFT2,Random,3,353.0,588.0,0.68,0.445,200
Constant(1),TFT2,TfT,3,600.0,600.0,1.0,1.0,200
Constant(1),TFT2,SuspiciousTfT,3,597.0,602.0,1.0,0.995,200
Constant(1),TFT2,TFT2,3,600.0,600.0,1.0,1.0,200
Constant(1),TFT2,Grim,3,600.0,600.0,1.0,1.0,200
Constant(1),TFT2,GenerousTfT,3,600.0,600.0,1.0,1.0,200
Constant(1),TFT2,ContriteTfT,3,600.0,600.0,1.0,1.0,200
Constant(1),TFT2,Pavlov,3,600.0,600.0,1.0,1.0,200
Constant(1),Grim,AllC,3,600.0,600.0,1.0,1.0,200
Constant(1),Grim,AllD,3,199.0,204.0,0.005,0.0,200
Constant(1),Grim,Random,3,555.0,115.0,0.005,0.445,200
Constant(1),Grim,TfT,3,600.0,600.0,1.0,1.0,200
Constant(1),Grim,SuspiciousTfT,3,203.0,203.0,0.005,0.005,200
Constant(1),Grim,TFT2,3,600.0,600.0,1.0,1.0,200
